School_ID,Name_of_School,Elementary_Middle_High_School,CPS_Performance_Policy_Status,CPS_Performance_Policy_Level,Family_Involvement_Score,Parent_Engagement_Score,Average_Student_Attence,Rate_of_Misconducts,Average_Teacher_Attence,Students_Taking_Algebra,Students_Passing_Algebra,X9_Grade_Explore_2009,X9_Grade_Explore_2010,X10_Grade_Plan_2009,X10_Grade_Plan_2010,X11_Grade_Average_ACT_2011,Net_Change_EXPLORE_PLAN,Net_Change_PLAN_ACT,College_Eligibility,Graduation_Rate,College_Enrollment_Rate,College_Enrollment,Freshman_on_Track_Rate,Probation
610193,William K New Sullivan Elementary School,ES,Probation,Level 3,42,47,90.3,27.3,94,,,,,,,,,,,,,527,,1
609760,George Washington Carver Military Academy High School,HS,Not on Probation,Level 2,,,91.6,8.9,96.4,,,14.5,14.2,15,14.9,16.8,0.4,1.8,21.2,78.7,60.5,532,79.5,0
609945,William C Goudy Elementary School,ES,Not on Probation,Level 1,52,,96.1,6,95.8,34.5,100,,,,,,,,,,,805,,0
609968,Sharon Christa McAuliffe Elementary School,ES,Probation,Level 3,,52,93.9,14.2,95.7,,,,,,,,,,,,,862,,1
609727,Wendell Phillips Academy High School,HS,Probation,Level 3,71,,63,22,96.1,,,11.5,12.8,13.4,12.9,15,1.4,1.6,2.5,40.3,42.6,590,32.1,1
609933,Stephen F Gale Elementary Community Academy,ES,Probation,Level 3,31,45,92.1,34.8,95.2,20.9,,,,,,,,,,,,532,,1
610142,William H Ray Elementary School,ES,Not on Probation,Level 1,,50,95.1,6.7,94.9,,,,,,,,,,,,,654,,0
610158,Harriet E Sayre Elementary Language Academy,ES,Not on Probation,Level 2,,44,96.2,2.6,96.6,,,,,,,,,,,,,605,,0
610063,Cyrus H McCormick Elementary School,ES,Not on Probation,Level 1,60,52,95.9,4.7,95.9,,,,,,,,,,,,,894,,0
610134,Nathaniel Pope Elementary School,ES,Probation,Level 3,,,91.6,54.2,95.8,,,,,,,,,,,,,200,,1
610518,VOISE Academy High School,HS,Probation,Level 2,,,84.5,25,96.5,,,12.3,12.5,13.6,13.6,14.4,1.3,0.8,,,,410,82,1
609979,Robert Healy Elementary School,ES,Not on Probation,Level 1,,,96.6,11.3,97.1,18.9,80,,,,,,,,,,,1384,,0
610503,Frazier Prospective IB Magnet Elementary School,ES,Not on Probation,Level 1,55,66,96.8,7.2,96.6,,,,,,,,,,,,,220,,0
610210,Alexander von Humboldt Elementary School,ES,Probation,Level 3,,43,92.5,185.5,96,14.6,,,,,,,,,,,,398,,1
610006,Edward N Hurley Elementary School,ES,Not on Probation,Level 1,56,49,95.4,12.2,94.9,,30.3,,,,,,,,,,,830,,0
610169,Austin O Sexton Elementary School,ES,Probation,Level 3,,46,90.5,8.6,94.1,,,,,,,,,,,,,337,,1
610365,Mary McLeod Bethune Elementary School,ES,Probation,Level 3,47,56,93.3,25.8,97.6,,,,,,,,,,,,,362,,1
609851,Thomas Chalmers Specialty Elementary School,ES,Probation,Level 3,76,,94.4,3.4,97.3,,,,,,,,,,,,,288,,1
610233,Elihu Yale Elementary School,ES,Probation,Level 3,35,49,89.7,67.2,97,,,,,,,,,,,,,182,,1
